Serial No,Name,Student ID,Date of Incident,Place of Incident,Program/Course,Term,Incident Category,Status,Email
1,Megan Singh,500666528,2021-03-25,Applied Industry Project,Wireless Information Networking,2,Suggestion/ Feedback,Not Resolved,megan.singh@loyalistcollege.com
2,Jennifer Green,500313072,2021-10-31,Off Campus,Business Sales and Marketing,3,Inquiry,In Progress,jennifer.green@loyalistcollege.com
3,Jennifer Bowers,500938260,2022-02-05,Off Campus,Hospitality Management,1,Other,Resolved,jennifer.bowers@loyalistcollege.com
4,John Silva,500732485,2021-10-02,Moodle / E- Learning,Computer Software and Database Development,1,Suggestion/ Feedback,In Progress,john.silva@loyalistcollege.com
5,Kathy Campbell,500673812,2023-06-26,Moodle / E- Learning,Business Sales and Marketing,2,Suggestion/ Feedback,Not Relevant Complaint,kathy.campbell@loyalistcollege.com
6,Katelyn Gupta,500716161,2022-05-20,On Campus,Computer Systems Technician,3,Other,Not Relevant Complaint,katelyn.gupta@loyalistcollege.com
7,Danielle Browning,500401630,2022-04-05,On Co-op/Placement,Business Sales and Marketing,3,Inquiry,Resolved,danielle.browning@loyalistcollege.com
8,Dr. Stephanie Collins,500566604,2022-08-14,On Co-op/Placement,Global Project Management,3,Lost and Found,Resolved,dr..stephanie.collins@loyalistcollege.com
9,Stephanie Sutton,500196083,2021-03-06,On Campus,Computer Software and Database Development,3,Other,Not Resolved,stephanie.sutton@loyalistcollege.com
10,Brian Hamilton,500725252,2022-03-29,In Class,Cyber Security,3,Suggestion/ Feedback,Not Relevant Complaint,brian.hamilton@loyalistcollege.com
11,Cheryl Singh,500936695,2023-05-07,Applied Industry Project,Global Business Management,4,Other,Not Resolved,cheryl.singh@loyalistcollege.com
12,Tracy Woods,500503598,2022-11-01,Moodle / E- Learning,Global Business Management,4,Inquiry,Not Resolved,tracy.woods@loyalistcollege.com
13,Debbie Trujillo,500432447,2021-02-24,Moodle / E- Learning,Cyber Security,4,Suggestion/ Feedback,In Progress,debbie.trujillo@loyalistcollege.com
14,Alexis Cortez,500703613,2022-09-30,Applied Industry Project,Global Project Management,2,Suggestion/ Feedback,Not Resolved,alexis.cortez@loyalistcollege.com
15,Roger Barnett,500353867,2022-02-22,Applied Industry Project,Global Business Management,1,Other,Resolved,roger.barnett@loyalistcollege.com
16,Aaron Gupta,500404432,2022-08-06,In Class,Wireless Information Networking,2,Suggestion/ Feedback,Resolved,aaron.gupta@loyalistcollege.com
17,Sean Sanchez MD,500292800,2021-11-20,On Co-op/Placement,Computer Systems Technician,1,Suggestion/ Feedback,In Progress,sean.sanchez.md@loyalistcollege.com
18,Cheryl Bradley,500298591,2022-06-23,On Campus,Cyber Security,4,Other,Not Relevant Complaint,cheryl.bradley@loyalistcollege.com
19,Walter Pratt,500961370,2021-07-28,Applied Industry Project,Computer Systems Technician,2,Suggestion/ Feedback,In Progress,walter.pratt@loyalistcollege.com
20,Bobby Flores,500295800,2021-07-25,On Co-op/Placement,Global Project Management,3,Lost and Found,Resolved,bobby.flores@loyalistcollege.com
